"A versao no navagador bloqueia o uso de filtros....
 Para usar esse filtro é necessario que vc faça download desse arquivo (ARQUIVO >> BAIXAR UMA COPIA) e com ele baixado no seu computador vc conseguirá usar as opões de seleção daqui. OU no menu EDIÇÃO clicando em  ABRIR NA AREA DE TRABALHO";;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
DIRETORIA DE ENSINO REGIÃO CAMPINAS LESTE;;;;;;;;;;;;;;;;;;;;;
Rua Rafael Sampaio, 485 - Vila Rossi / CEP : 13023-240 /  Fone: 3741 4110 / FAX: 3741 4111;;;;;;;;;;;;;;;;;;;;;
http:// decampinasleste.educacao.sp.gov.br e-mail: declt@educacao.sp.gov.br;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
ESCOLAS ESTADUAIS MUNICÍPIO DE CAMPINAS;;;;;;;;;;;;;;;;;;;;;
Nº;UA;CIE;Nome da Unidade Escolar;Endereço;Bairro;END COMPLETO;telefone 1 ;telefone 2;TIPO;Coluna1;INTEGRAL;ANOS INICIAIS;ANOS FINAIS;ENSINO MEDIO;NOVOTEC;DEF INT;DEF AUD;TEA;ITINERARIO FORMATIVO;EJA;
1;42769;18533;31 de Março EE;Rua Pedro Pinheiro, 385;Jardim Santa Mônica;Rua Pedro Pinheiro, 385 Jardim Santa Mônica  Campinas/ SP;32462933;32460077;EF AI (tarde) EF AF (manhã e tarde) EM (manhã) DI (SALA REC) ITI.FOR (manhã) ;;REGULAR;EF AI (tarde);EF AF (manhã e tarde);EM (manhã);--------;DI (SALA REC);--------;--------;ITI.FOR (manhã);--------;
2;42802;18284;Adalberto Nascimento EE;Rua Adalberto Maia, 235;Taquaral;Rua Adalberto Maia, 235 Taquaral  Campinas/ SP;32553829;32512824;PEI EF AF (integral) EM (integral) ITI.FOR (integral) ;;PEI;--------;EF AF (integral);EM (integral);--------;--------;--------;--------;ITI.FOR (integral);--------;
3;42766;18260;Adalberto Prado e Silva Prof. EE;Rua dos Arapanés, s/n;Vila Costa e Silva;Rua dos Arapanés, s/n Vila Costa e Silva  Campinas/ SP;32083668;32080455;PEI EF AF (integral) EM (integral) DI (SALA REC) ITI.FOR (integral) ;;PEI;--------;EF AF (integral);EM (integral);--------;DI (SALA REC);--------;--------;ITI.FOR (integral);--------;
4;21369;922420;Adiwalde de Oliveira Coelho  EE;Rua Castro Alves, 204;Taquaral;Rua Castro Alves, 204 Taquaral  Campinas/ SP;"32531323	";32543624;PEI EF AI (integral)  ;;PEI;EF AI (integral);--------;--------;--------;--------;--------;--------;--------;--------;
5;97779;563146;Adriana Cardoso;Rua Luiza Augusta Garlipe, n/n;Vila Esperança;Rua Luiza Augusta Garlipe, n/n Vila Esperança  Campinas/ SP;32166796;32166795;PEI EF AI (integral) EF AF (integral)  ;;PEI;EF AI (integral);EF AF (integral);--------;--------;--------;--------;--------;--------;--------;
6;69041;903905;Alberto Martins Prof.  EE;Rua Ercilio Dos Santos Filho ,18;Jd. Ipaussurama;Rua Ercilio Dos Santos Filho ,18 Jd. Ipaussurama  Campinas/ SP;32685922;32273419;EF AI (manhã e tarde)  AUTISMO (ITINE) ;;REGULAR;EF AI (manhã e tarde);--------;--------;--------;--------;--------;AUTISMO (ITINE);--------;--------;
7;64095;901088;Alberto Medaljon Prof. EE;Rua Cons. Leôncio Carvalho s/n;Vila Brandina;Rua Cons. Leôncio Carvalho s/n Vila Brandina  Campinas/ SP;32537994;32534255;EF AI (tarde) EF AF (manhã) EM (noite) DI (ITINE) AUTISMO (ITINE) ITI.FOR (noite) ;;REGULAR;EF AI (tarde);EF AF (manhã);EM (noite);--------;DI (ITINE);--------;AUTISMO (ITINE);ITI.FOR (noite);--------;
8;42767;18200;Ana Rita Godinho Pousa EE;Rua Benedita Franco Gomes, 165;Vila Esmeralda;Rua Benedita Franco Gomes, 165 Vila Esmeralda  Campinas/ SP;32517857;32546500;EF AF (tarde) EM (manhã) NOVOTEC DI (SALA REC) ITI.FOR (manhã) ;;REGULAR;--------;EF AF (tarde);EM (manhã);NOVOTEC;DI (SALA REC);--------;--------;ITI.FOR (manhã);--------;
9;42810;18703;André Fort Prof. EE;Avenida Paulo Provenza Sobrinho, 552;Campos Elíseos;Avenida Paulo Provenza Sobrinho, 552 Campos Elíseos  Campinas/ SP;32685877;32272464;EF AI (manhã e tarde)  DI (SALA REC) ;;REGULAR;EF AI (manhã e tarde);--------;--------;--------;DI (SALA REC);--------;--------;--------;--------;
10;42793;18314;Aníbal de Freitas Prof. EE;Rua 1ª de Março, 38;Guanabara;Rua 1ª de Março, 38 Guanabara  Campinas/ SP;32135264;32417783;EF AF (tarde) EM (manhã) DI (SALA REC) AUTISMO (SALA REC) ITI.FOR (manhã) ;;REGULAR;--------;EF AF (tarde);EM (manhã);--------;DI (SALA REC);--------;AUTISMO (SALA REC);ITI.FOR (manhã);--------;
11;56508;40423;Antonio Carlos Couto de Barros EE;Rua Agenor Augusto do Nascimento, 1 ;V. Santana - Souzas;Rua Agenor Augusto do Nascimento, 1  V. Santana - Souzas  Campinas/ SP;32584944;32581520;EF AI (manhã e tarde)  DI (ITINE) AUTISMO (ITINE) ;;REGULAR;EF AI (manhã e tarde);--------;--------;--------;DI (ITINE);--------;AUTISMO (ITINE);--------;--------;
12;42804;18715;Antonio Vilela Júnior Prof. EE;Rua Conselheiro Gomide, s/n;Vila Industrial;Rua Conselheiro Gomide, s/n Vila Industrial  Campinas/ SP;32727574;32738481;EF AI (tarde) EF AF (manhã) EM (manhã) DI (ITINE) DA (ITINE) AUTISMO (ITINE) ITI.FOR (manhã) ;;REGULAR;EF AI (tarde);EF AF (manhã);EM (manhã);--------;DI (ITINE);DA (ITINE);AUTISMO (ITINE);ITI.FOR (manhã);--------;
13;42758;18348;Artur Segurado EE;Av. Brasil, 2080;Jardim Brasil;Av. Brasil, 2080 Jardim Brasil  Campinas/ SP;32418169;32423450;EF AI (manhã e tarde)  DI (SALA REC) AUTISMO (ITINE) ;;REGULAR;EF AI (manhã e tarde);--------;--------;--------;DI (SALA REC);--------;AUTISMO (ITINE);--------;--------;
14;42772;18557;Ary Monteiro Galvão  Prof. EE;Rua Lafayete A. de S. Camargo ,380;Jardim Eulina;Rua Lafayete A. de S. Camargo ,380 Jardim Eulina  Campinas/ SP;32427388;32427388;EF AI (manhã e tarde)  DI (SALA REC) ;;REGULAR;EF AI (manhã e tarde);--------;--------;--------;DI (SALA REC);--------;--------;--------;--------;
15;42778;18764;Ataliba Nogueira  Barão EE;Rua Cássio Ciampolini, 76;Jardim Magnólia;Rua Cássio Ciampolini, 76 Jardim Magnólia  Campinas/ SP;32132400;987168328;PEI EF AF (integral)  DI (ITINE) DA (ITINE) AUTISMO (ITINE) ;;PEI;--------;EF AF (integral);--------;--------;DI (ITINE);DA (ITINE);AUTISMO (ITINE);--------;--------;
16;42809;18429;Benedito Sampaio Prof. EE;Rua Delfino Cintra, s/n;Botafogo;Rua Delfino Cintra, s/n Botafogo  Campinas/ SP;32368887;32314320;PEI EF AF (integral)  DI (ITINE) ;;PEI;--------;EF AF (integral);--------;--------;DI (ITINE);--------;--------;--------;--------;
17;97780;564990;Bernardo Caro;Rua do Hipismo, 100;Residencial Olimpia;Rua do Hipismo, 100 Residencial Olimpia  Campinas/ SP;37750195;37750193;EF AI (tarde) EF AF (manhã) EM (manhã e noite) ITI.FOR (manhã e noite) ;;REGULAR;EF AI (tarde);EF AF (manhã);EM (manhã e noite);--------;--------;--------;--------;ITI.FOR (manhã e noite);--------;
18;46407;37148;Carlos Araújo Pimentel  EE;Rua dos Jivaros, 35;Jardim Santa Genebra;Rua dos Jivaros, 35 Jardim Santa Genebra  Campinas/ SP;32421507;32426466;EF AI (manhã e tarde)  DI (SALA REC) ;;REGULAR;EF AI (manhã e tarde);--------;--------;--------;DI (SALA REC);--------;--------;--------;--------;
19;47792;18880;Carlos Francisco de Paula  EE;Rua Laranjal Paulista, 395;Cidade Jardim;Rua Laranjal Paulista, 395 Cidade Jardim  Campinas/ SP;32286850;32271806;PEI EF AF (integral) EM (integral) DI (ITINE) ITI.FOR (integral) ;;PEI;--------;EF AF (integral);EM (integral);--------;DI (ITINE);--------;--------;ITI.FOR (integral);--------;
20;72795;18302;Carlos Gomes EE;Av. Anchieta, 80;Centro;Av. Anchieta, 80 Centro  Campinas/ SP;32313033;992929224;EF AI (tarde) EF AF (manhã e tarde) EM (manhã e noite) DI (SALA REC) DA (SALA REC) ITI.FOR (manhã e noite) EJA (noite) ;;REGULAR;EF AI (tarde);EF AF (manhã e tarde);EM (manhã e noite);--------;DI (SALA REC);DA (SALA REC);--------;ITI.FOR (manhã e noite);EJA (noite);
21;42797;18776;Carlos Lencastre Prof. EE;Rua Antonio Grigoleto, 88;Jardim Garcia;Rua Antonio Grigoleto, 88 Jardim Garcia  Campinas/ SP;32685899;32273500;PEI EF AF (integral)  ;;PEI;--------;EF AF (integral);--------;--------;--------;--------;--------;--------;--------;
22;42819;18818;Castinauta B. M. Albuquerque EE;Rua Orlando de Oliveira, s/n;Jardim São Marcos;Rua Orlando de Oliveira, s/n Jardim São Marcos  Campinas/ SP;32463229;32462977;EF AI (manhã) EF AF (tarde) EM (tarde e noite) DI (SALA REC) ITI.FOR (noite) EJA (noite) ;;REGULAR;EF AI (manhã);EF AF (tarde);EM (tarde e noite);--------;DI (SALA REC);--------;--------;ITI.FOR (noite);EJA (noite);
23;42763;18065;Castorina Cavalheiro Dona  EE;Rua Prefeito Passos, 95;Vila Itapura;Rua Prefeito Passos, 95 Vila Itapura  Campinas/ SP;32311969;32369959;EF AI (manhã e tarde)  DI (SALA REC) AUTISMO (SALA REC) ;;REGULAR;EF AI (manhã e tarde);--------;--------;--------;DI (SALA REC);--------;AUTISMO (SALA REC);--------;--------;
24;42781;18119;Cecília Pereira Profª.  EE;Rua Serra do Umbuzeiro, 649;Jardim São Fernando;Rua Serra do Umbuzeiro, 649 Jardim São Fernando  Campinas/ SP;32535508;32527868;PEI EF AF (integral) EM (integral) ITI.FOR (integral) ;;PEI;--------;EF AF (integral);EM (integral);--------;--------;--------;--------;ITI.FOR (integral);--------;
25;77581;980122;CEEJA Jeanete Andrade Godoy A Martins;Rua Dos Nhambiquaras, s/n;Vila Costa e Silva;Rua Dos Nhambiquaras, s/n Vila Costa e Silva  Campinas/ SP;32080111;32091655;EF (manhã, tarde e noite) EM (manhã, tarde e noite) EJA ;;REGULAR;--------;EF (manhã, tarde e noite);EM (manhã, tarde e noite);--------;--------;--------;--------;--------;EJA;
26;81145;980158;CEEJA Paulo Decourt;Rua Amélia Bueno de Camargo, s/n;Jardim Santana;Rua Amélia Bueno de Camargo, s/n Jardim Santana  Campinas/ SP;32890822;32894833;EF (manhã, tarde e noite) EM (manhã, tarde e noite) EJA ;;REGULAR;--------;EF (manhã, tarde e noite);EM (manhã, tarde e noite);--------;--------;--------;--------;--------;EJA;
27;72775;18934;Consuelo  Freire Brandão Profª. EE;Av. Artur Leite de Barros Jr,128;Jardim do Lago;Av. Artur Leite de Barros Jr,128 Jardim do Lago  Campinas/ SP;32290185;32275811;PEI EF AI (integral)  DI (ITINE) ;;PEI;EF AI (integral);--------;--------;--------;DI (ITINE);--------;--------;--------;--------;
28;608477;47120;Coriolano Monteiro Prof. EE;Rua Luiz Chiodetto, 470;Jardim Carlos Lourenço;Rua Luiz Chiodetto, 470 Jardim Carlos Lourenço  Campinas/ SP;32530365;32534222;EF AF (manhã e tarde) EM (manhã e noite) DI (ITINE) ITI.FOR (manhã e noite) EJA (noite) ;;REGULAR;--------;EF AF (manhã e tarde);EM (manhã e noite);--------;DI (ITINE);--------;--------;ITI.FOR (manhã e noite);EJA (noite);
29;42800;18144;Cristiano Volkart EE;Praça Paul Harris, 105;Nova Campinas;Praça Paul Harris, 105 Nova Campinas  Campinas/ SP;32517590;32514079;EF AI (manhã e tarde)  DI (ITINE) DA (ITINE) AUTISMO (ITINE) ;;REGULAR;EF AI (manhã e tarde);--------;--------;--------;DI (ITINE);DA (ITINE);AUTISMO (ITINE);--------;--------;
30;42791;18326;Culto à Ciência EE;Rua Culto a Ciência, 422;Botafogo;Rua Culto a Ciência, 422 Botafogo  Campinas/ SP;32349309;32323511;PEI EM (integral) DI (ITINE) ITI.FOR (integral) ;;PEI;--------;--------;EM (integral);--------;DI (ITINE);--------;--------;ITI.FOR (integral);--------;
31;77193;35907;Dante Alighieri Vita Prof.  EE;Rua Cyrenia Arruda Camargo, 163;Jardim Santana;Rua Cyrenia Arruda Camargo, 163 Jardim Santana  Campinas/ SP;32569550;;EF AI (manhã e tarde)  DI (SALA REC) ;;REGULAR;EF AI (manhã e tarde);--------;--------;--------;DI (SALA REC);--------;--------;--------;--------;
32;42815;18569;Djalma Octaviano Prof. EE;Rua Willian Booth, s/n;Jardim Paulicéia;Rua Willian Booth, s/n Jardim Paulicéia  Campinas/ SP;32273505;37290208;PEI EM (integral) ITI.FOR (integral) ;;PEI;--------;--------;EM (integral);--------;--------;--------;--------;ITI.FOR (integral);--------;
33;42759;18193;Dora Maria M.C.Kanso Profª. EE;Av. Prof Emílio Coelho, s/n;Village Campinas;Av. Prof Emílio Coelho, s/n Village Campinas  Campinas/ SP;32874577;32875555;EF AI (manhã e tarde) EF AF (tarde)  DI (ITINE) ;;REGULAR;EF AI (manhã e tarde);EF AF (tarde);--------;--------;DI (ITINE);--------;--------;--------;--------;
34;80754;912924;Eunice Virgínia Ramos Navero EE;Rua Alceu Amoroso Lima, 188;Parque Imperador;Rua Alceu Amoroso Lima, 188 Parque Imperador  Campinas/ SP;32070088;32073066;EF AI (tarde) EF AF (manhã)  DI (ITINE) ;;REGULAR;EF AI (tarde);EF AF (manhã);--------;--------;DI (ITINE);--------;--------;--------;--------;
